,left,right,top,bottom,peakName,multiplicity,nuclei,coupling,comment
Lactate,1.346,1.324,21,23.2154,C3H3A/B/C,D,3,7,
Lactate,4.12,4.1,70.8578,71.653,C2H2,Q,1,6.9,
Creatinine,3.053,3.043,30.5,34.2,C5 H6A/H6B/H6C,S,3,,
Creatinine,4.07,4.055,57,60.3,C2 H2A/H2B,S,2,,
Threonine,3.622,3.59,62.43,63.78,C2H2,M,1,,
Threonine,4.3,4.21686,68,69.43,C3H3,M,1,,
Threonine,1.35,1.29,21.1,22.6748,C4H4A/B/C,M,3,,
D-glucose,3.41,3.39,72.2,72.9,"C5H5 alpha,beta",M,1,,
D-glucose,3.465,3.46,78.3,79,C3H3 C4H4 beta,M,1,,
D-glucose,3.91,3.7,62.97,63.96,C6H6B beta,M,1,,
D-glucose,3.54,3.53,73.9,74.7,C2H2 alpha,M,1,,
D-glucose,3.241,3.239,76.4,77.3284,C2H2 beta,M,1,,
D-glucose,4.643,4.6283,98.4,99.1,C1H1 beta,D,1,5.8,
D-glucose,3.831,3.829,73.8,74.7,C4H4 alpha,M,1,,
D-glucose,5.224,5.21,94,95.5,C1H1 alpha,D,1,3.8,
D-glucose,3.72,3.71,75,76,C3H3 alpha,M,1,,
